#4FGL,logFG,GamG,Varib,Curve,XRT,logFX,GamX,filter,mV,Pbzr
J0031.0-2327,-11.72,2.19,5.56,2.89,J003040.1-232821,-12.45,0.40,uu,21.39,0.0080
J0212.1+5321,-10.79,2.21,3.24,11.08,J021210.7+532136,-11.81,1.09,uu,16.14,0.0053
J0859.3-4342,-10.61,2.64,3.27,5.90,J085926.2-434526,-11.65,1.05,uu,20.55,0.0029
J0955.3-3949,-10.89,2.45,9.28,6.58,J095527.3-394747,-12.42,0.90,uu,21.49,0.0028
J1120.0-2204,-10.79,2.17,5.24,14.26,J111959.2-220456,-13.11,1.86,vv,19.99,0.0018
J1304.4+1203,-11.70,2.27,3.56,5.88,J130442.8+120440,-12.91,1.43,uu,21.43,0.0028
J1306.8-4035,-11.07,2.45,7.27,3.39,J130655.8-403519,-12.46,0.98,uu,21.42,0.0099
J1645.8-4533,-10.36,2.56,1.30,5.04,J164547.7-453647,-9.26,-1.53,uu,22.64,0.0015
J1729.2-3641,-10.56,2.47,11.20,2.24,J172916.6-364006,-12.08,-0.12,uu,21.18,0.0085
J1838.2+3223,-11.47,2.38,2.53,2.35,J183817.0+322416,-12.15,0.29,uu,21.30,0.0041
J1844.4-0306,-10.26,2.60,5.72,6.52,J184441.7-030536,-12.33,1.85,uu,20.67,0.0042
J2029.5-4237,-11.64,2.47,3.65,5.65,J202913.7-423533,-11.79,0.07,uu,21.25,0.0022
J2039.5-5617,-10.83,2.17,13.12,8.58,J203934.3-561706,-13.00,1.33,uu,22.33,0.0022
J2054.2+6904,-11.38,2.38,3.78,4.40,J205357.8+690519,-12.64,0.43,vv,20.62,0.0023
J0004.4-4001,-11.66,2.42,18.52,0.34,J000434.1-400036,-12.41,2.50,uu,17.93,0.9998
J0017.1-4605,-11.62,2.80,4.12,0.74,J001708.5-460612,-12.46,1.72,uu,18.92,0.9993
J0025.4-4838,-11.69,2.12,10.13,1.30,J002536.8-483808,-12.30,2.33,uu,19.37,0.9997
J0026.1-0732,-11.77,2.07,1.25,0.08,J002611.9-073115,-11.35,2.13,uu,19.42,0.9998
J0031.5-5648,-11.81,1.92,11.68,1.19,J003135.1-564640,-12.39,2.43,w1,20.12,0.9998
J0037.2-2653,-11.86,2.46,3.65,0.44,J003729.6-265043,-12.33,1.63,uu,20.00,0.9996
J0057.9+6326,-11.57,1.67,11.42,2.05,J005758.1+632642,-11.56,2.04,vv,19.11,0.9997
J0058.3-4603,-11.94,2.10,12.61,0.64,J005806.4-460417,-11.52,1.62,uu,21.19,0.9998
J0118.3-6008,-11.96,2.17,10.53,2.33,J011824.0-600753,-12.74,2.49,uu,19.34,0.9994
J0120.2-7944,-11.76,2.38,15.39,1.37,J011914.7-794510,-12.32,2.09,uu,20.13,0.9997
J0125.9-6303,-11.78,2.32,9.33,0.10,J012548.3-630244,-12.09,1.95,uu,19.94,0.9998
J0137.3-3239,-11.88,2.25,7.80,0.48,J013724.7-324047,-12.14,2.23,uu,21.56,0.9998
J0140.3+7054,-11.60,2.00,6.00,1.44,J014008.6+705250,-12.36,1.99,uu,20.64,0.9973
J0156.3-2420,-11.58,1.86,36.97,1.81,J015624.4-242004,-11.98,2.50,bb,18.18,0.9998
J0159.0+3313,-11.65,2.02,23.07,0.82,J015905.0+331255,-12.23,2.43,m2,19.43,0.9998
J0209.8+2626,-11.69,2.25,7.14,0.52,J020946.5+262528,-11.60,1.96,uu,20.99,0.9998
J0231.0+3505,-11.96,1.69,8.60,2.61,J023112.4+350446,-11.58,1.74,m2,20.39,0.9982
J0240.2-0248,-11.58,2.55,14.69,0.12,J024004.6-024505,-12.18,1.81,vv,18.14,0.9999
J0259.0+0552,-11.11,2.10,14.76,2.28,J025857.4+055243,-12.25,1.94,uu,18.70,0.9991
J0301.6-5617,-11.79,1.91,20.93,1.63,J030115.2-561648,-12.57,2.29,uu,19.49,0.9998
J0302.5+3354,-11.49,2.32,4.87,0.70,J030226.7+335448,-12.10,1.94,uu,20.35,0.9996
J0327.6+2620,-11.85,1.94,3.59,0.62,J032737.2+262008,-12.02,2.10,uu,20.12,0.9997
J0333.4-2705,-11.81,2.10,9.36,0.53,J033331.5-270918,-12.01,2.12,m2,19.30,0.9998
J0343.3-6303,-11.63,2.05,9.37,0.73,J034323.9-630342,-12.43,3.37,uu,20.53,0.9998
