Source_Name,Xray_Index,FX,FG,PL_Index,PLEC_SigCurv,Variability_Index,finalV,Class
4FGL J0004.4-4737,1.85,4.751E-13,6.5130097E-12,2.4149895,2.1042888,123.41303,20.0,bzr
4FGL J0005.9+3824,1.682,2.536E-12,8.3591545E-12,2.6667964,2.5216346,23.272005,19.1,bzr
4FGL J0008.4-2339,2.547,5.082E-12,2.6925014E-12,1.6839513,2.2756336,10.584781,18.9,bzr
4FGL J0009.1+0628,1.511,6.798E-13,5.1309937E-12,2.1171386,1.0305651,11.290438,19.14,bzr
4FGL J0009.7-3217,2.67,5.744E-13,2.0985076E-12,2.1981528,0.9076175,16.073004,14.65,bzr
4FGL J0013.9-1854,2.055,1.5E-11,3.1480432E-12,1.9660697,1.6932993,2.6081078,17.415,bzr
4FGL J0014.1-5022,2.081,8.213E-12,2.8836386E-12,1.9924736,1.8276205,1.6824188,19.5,bzr
4FGL J0017.5-0514,1.919,2.146E-12,1.2202161E-11,2.5345943,2.6739016,224.79675,19.41,bzr
4FGL J0018.4+2946,2.271,8.033E-12,3.4871455E-12,1.7145041,2.0306904,5.4117527,20.4,bzr
4FGL J0019.3-8152,2.694,5.109E-13,5.914436E-12,2.1021957,1.3757367,14.4204,17.91,bzr
4FGL J0019.6+2022,1.884,3.032E-13,3.1332927E-12,2.152031,1.6236689,11.28768,21.6,bzr
4FGL J0022.1-1854,2.55,6.185E-13,9.4906565E-12,1.9354254,2.8053083,3.0645726,17.97,bzr
4FGL J0021.9-5140,2.795,1.168E-12,6.9044575E-12,2.042762,1.331635,18.849268,19.069,bzr
4FGL J0022.5+0608,2.282,3.893E-13,2.1512599E-11,2.1697786,2.2348447,48.994625,19.697,bzr
4FGL J0026.6-4600,2.539,3.895E-12,2.42879E-12,1.9649565,0.3737073,12.271511,18.8,bzr
4FGL J0030.3-4224,1.474,2.32E-12,1.6141649E-11,2.520737,1.9214816,71.910126,20.0,bzr
4FGL J0031.3+0726,3.078,6.94E-13,2.2742073E-12,1.9919337,0.40364605,13.281998,20.356,bzr
4FGL J0033.5-1921,2.418,9.278E-12,3.1802717E-11,1.7667189,5.1461773,27.173615,17.3,bzr
4FGL J0035.2+1514,2.869,1.627E-12,1.323888E-11,1.8417218,2.6559823,26.144093,17.97,bzr
4FGL J0037.8+1239,2.105,2.032E-12,8.176968E-12,2.1874437,0.41344592,53.488197,17.22,bzr
4FGL J0038.2-2459,1.463,4.794E-12,3.4234195E-12,2.363812,2.6285574,64.82243,18.452,bzr
4FGL J0039.1-2219,1.942,4.94E-12,2.6567249E-12,1.8083013,0.6173216,6.3340545,16.954,bzr
4FGL J0040.3+4050,1.754,1.317E-11,2.4479032E-12,1.9973712,1.6402571,16.018068,20.3,bzr
4FGL J0043.7-1116,2.486,2.032E-12,2.7814602E-12,1.9280754,1.9471327,11.312284,19.418,bzr
4FGL J0045.3+2128,2.592,7.449E-12,1.9053701E-11,1.7999823,3.6360316,144.95067,18.01,bzr
4FGL J0045.7+1217,2.326,3.134E-12,1.0574051E-11,1.9976659,1.2179638,30.498245,18.896,bzr
4FGL J0049.7+0237,1.813,5.617E-13,1.2530758E-11,2.2396014,2.330414,66.94254,20.14,bzr
4FGL J0050.0-5736,1.599,1.727E-12,5.531269E-12,2.6033657,0.42778155,19.660662,19.5,bzr
4FGL J0050.7-0929,2.271,9.984E-12,3.4208143E-11,2.0404043,5.439466,134.48454,17.22,bzr
4FGL J0051.1-0648,1.73,8.179E-13,9.209037E-12,2.334328,3.7511578,145.84059,20.5,bzr
4FGL J0051.2-6242,2.705,4.314E-12,1.6270926E-11,1.7114966,5.5682726,29.625206,18.38,bzr
4FGL J0054.7-2455,2.544,2.942E-12,9.230743E-12,1.7468208,3.3189905,11.190836,18.959,bzr
4FGL J0056.3-0935,2.295,4.404E-12,7.9879905E-12,1.8709282,0.45110306,18.438265,18.24,bzr
4FGL J0058.0-3233,1.162,5.121E-13,1.2366161E-11,2.1069655,4.694714,61.182144,18.6,bzr
4FGL J0059.3-0152,2.119,7.368E-12,2.564124E-12,1.7836272,1.5634185,6.1054378,18.203,bzr
4FGL J0108.6+0134,1.464,2.187E-12,1.1552579E-10,2.353279,12.824068,4121.475,19.39,bzr
4FGL J0110.7-1254,2.146,6.529E-12,2.4563418E-12,1.9825666,0.3320112,6.7349987,18.9,bzr
4FGL J0111.4+0534,1.879,3.977E-12,1.6266978E-12,1.9516995,0.79563165,9.341591,20.9,bzr
4FGL J0112.1+2245,2.421,5.402E-12,7.514683E-11,2.0710754,6.728723,313.15143,16.66,bzr
4FGL J0112.8+3208,1.616,5.529E-12,3.0052263E-11,2.3686182,3.8856635,889.49274,19.0,bzr
4FGL J0113.4+4948,1.496,2.93E-12,1.2019121E-11,2.2328646,2.2698998,37.58825,19.4,bzr
4FGL J0114.8+1326,2.658,5.735E-13,1.2782857E-11,2.0668852,1.5397537,40.42912,17.86,bzr
4FGL J0115.8+2519,2.379,6.279E-12,1.22758175E-11,1.9745302,0.64363843,42.226692,19.52,bzr
4FGL J0116.0-1136,1.666,3.597E-12,1.2690304E-11,2.3908017,1.5530686,259.4283,19.5,bzr
4FGL J0116.0-2745,2.324,4.044E-12,1.6408E-12,1.7768272,1.3488017,9.572112,20.347,bzr
4FGL J0118.9-2141,1.641,7.942E-13,3.1511464E-11,2.269433,6.656725,169.98923,20.0,bzr
4FGL J0119.0-1458,2.465,4.219E-12,3.2963322E-12,1.7987903,1.7908801,6.4311295,19.684,bzr
4FGL J0120.4-2701,2.207,1.921E-12,3.558482E-11,1.9018556,4.4048653,26.235111,16.56,bzr
4FGL J0123.1+3421,1.9,3.425E-11,3.2378562E-12,1.7042593,0.9927456,11.396765,16.2,bzr
4FGL J0123.7-2311,2.02,1.408E-11,6.4836617E-12,1.8529655,0.6988524,20.807144,20.0,bzr
4FGL J0132.7-0804,2.443,6.39E-12,2.8911973E-12,1.8205769,1.8589122,1.2284389,17.5,bzr
4FGL J0132.7-1654,1.466,2.083E-12,2.1726981E-11,2.397992,3.3925781,176.92715,19.44,bzr
4FGL J0133.1-5201,1.382,2.54E-12,9.922889E-12,2.5423996,2.7079394,357.71365,21.3,bzr
4FGL J0134.5+2637,2.756,2.199E-12,9.431734E-12,1.9554049,1.6334063,11.420004,18.126,bzr
4FGL J0136.5+3906,2.362,3.164E-11,5.328279E-11,1.7116307,7.299998,51.08218,16.8,bzr
4FGL J0137.0+4751,1.447,3.122E-12,4.453856E-11,2.2902436,7.962286,748.46906,19.0,bzr
4FGL J0137.6-2430,1.674,3.316E-12,1.644484E-11,2.5145247,3.960187,155.12012,18.33,bzr
4FGL J0141.4-0928,1.835,2.421E-12,2.0858584E-11,2.1664367,1.2956394,48.198112,17.55,bzr
4FGL J0145.0-2732,1.674,1.915E-12,1.2072657E-11,2.5887558,2.9982505,651.5271,20.0,bzr
4FGL J0146.9-5202,2.713,6.626E-13,3.4248077E-12,2.075545,1.7515221,5.7199545,17.121,bzr
4FGL J0152.2+2206,1.856,7.442E-13,7.350963E-12,2.7094116,2.1238675,36.98642,19.0,bzr
4FGL J0152.6+0147,2.465,7.547E-12,1.0013386E-11,1.9550902,0.5241797,15.229206,16.12,bzr
4FGL J0153.9+0823,2.614,3.966E-12,1.566728E-11,1.9383603,4.404437,35.6174,17.46,bzr
4FGL J0156.5+3914,1.67,1.325E-12,7.1480864E-12,2.4185915,0.47337264,57.493126,19.886,bzr
4FGL J0156.9-5301,1.714,2.662E-11,6.797727E-12,1.738746,2.2017078,43.41682,19.46,bzr
4FGL J0158.5-3932,2.255,1.606E-12,8.431256E-12,2.0406055,1.8994609,40.753826,18.58,bzr
4FGL J0159.5+1046,2.578,2.925E-12,9.58693E-12,2.0457382,1.5121117,19.94543,18.8,bzr
4FGL J0159.7-2740,2.729,4.678E-13,4.8524878E-12,2.0574632,1.6146283,9.156909,18.43,bzr
4FGL J0202.4+0849,2.369,1.186E-12,2.0972518E-12,1.8276981,1.9440992,13.444213,20.0,bzr
4FGL J0204.3+2417,2.91,1.895E-13,1.7038183E-12,1.9130174,1.6615722,13.894061,18.086,bzr
4FGL J0205.2+3212,1.529,1.246E-12,1.3030144E-11,2.6696563,2.39773,251.07224,19.0,bzr
4FGL J0204.8+1513,1.312,8.945E-13,7.0206367E-12,2.3740838,3.425078,39.41125,23.1,bzr
4FGL J0205.0-1700,1.406,4.994E-12,1.2279626E-11,2.6981883,3.357264,136.06595,19.0,bzr
4FGL J0208.6+3523,2.498,1.155E-12,2.9973365E-12,1.8795128,1.2531743,5.395403,20.24,bzr
4FGL J0209.3-5228,2.373,9.262E-12,1.8761543E-11,1.8494272,2.0657525,48.726837,17.69,bzr
4FGL J0210.7-5101,1.608,3.352E-12,4.7404462E-11,2.3535507,8.669705,712.16486,17.93,bzr
4FGL J0211.2+1051,2.288,6.859E-12,5.1821818E-11,2.1305497,4.1785254,292.191,14.4,bzr
4FGL J0212.9+2244,2.129,3.44E-13,5.8138156E-12,2.0507858,2.362993,19.31018,18.47,bzr
4FGL J0217.0-0821,1.73,1.337E-12,4.479129E-12,2.3313143,1.866933,5.5870767,21.23,bzr
4FGL J0217.2+0837,1.809,2.44E-12,1.7263885E-11,2.2260902,2.5188851,32.155457,18.9,bzr
4FGL J0217.4+7352,1.254,8.944E-12,1.2927662E-11,2.9677424,1.9793018,18.282362,20.0,bzr
4FGL J0217.8+0144,2.747,3.852E-11,3.158486E-11,2.2155216,4.949539,411.60062,17.09,bzr
4FGL J0222.0-1616,1.42,1.056E-12,5.8459296E-12,2.5262475,0.48696408,34.00284,16.0,bzr
4FGL J0222.6+4302,2.29,4.74E-12,1.5777271E-10,1.9616839,5.2962413,976.1077,16.21,bzr
4FGL J0223.1-1117,2.562,1.292E-12,3.4042376E-12,1.864341,2.3348153,13.461879,19.531,bzr
4FGL J0227.3+0201,2.023,6.123E-12,6.711316E-12,1.9805499,1.039064,6.289688,19.8,bzr
4FGL J0228.3-5547,1.815,2.453E-13,2.6240208E-11,2.283893,7.351285,812.0466,20.0,bzr
4FGL J0229.5-3644,1.341,1.614E-12,1.3141155E-11,2.591401,3.571875,196.21027,20.0,bzr
4FGL J0232.8+2018,1.803,2.022E-11,3.5272388E-12,1.7754167,0.04219059,4.358243,19.0,bzr
4FGL J0236.8-6136,1.524,5.431E-12,1.2593344E-11,2.3356273,2.3388474,687.3759,19.5,bzr
4FGL J0237.6-3602,2.572,4.077E-12,3.5803803E-12,1.8386229,0.8139044,25.238058,18.63,bzr
4FGL J0237.8+2848,1.558,3.254E-12,8.950206E-11,2.3752635,9.494372,3219.9934,19.5,bzr
4FGL J0238.1-3905,2.316,1.913E-12,3.5389404E-12,1.969693,2.1080348,17.860594,18.688,bzr
4FGL J0238.4-3116,2.507,1.847E-11,1.2137506E-11,1.8017367,1.0691673,33.44027,17.46,bzr
4FGL J0238.6+1637,1.7,4.507E-12,1.0566561E-10,2.1642318,11.068332,4953.5522,16.5,bzr
4FGL J0244.6-5819,1.867,7.144E-11,6.7020348E-12,1.7677698,1.813402,35.06129,18.9,bzr
4FGL J0245.9-4650,1.578,2.466E-12,3.7494115E-11,2.4186478,7.014486,859.6747,19.5,bzr
4FGL J0250.6+1712,2.196,5.265E-12,5.317995E-12,1.7928963,1.1421564,17.46281,18.5,bzr
4FGL J0253.2-5441,1.657,3.083E-12,4.2310335E-12,2.4857152,1.3158492,19.572989,20.3,bzr
4FGL J0303.4-2407,2.431,1.104E-11,6.0324246E-11,1.8994071,3.2024918,253.94855,17.18,bzr
4FGL J0303.6-6211,1.508,1.307E-12,1.1248178E-11,2.445192,1.8123773,121.67606,19.879,bzr
4FGL J0304.4-2833,2.054,8.82E-12,1.9761627E-12,1.6860999,2.6261768,5.7280746,20.54,bzr
4FGL J0309.0+1029,1.764,2.369E-12,1.8551393E-11,2.3696644,3.0061276,458.26498,19.472,bzr
4FGL J0309.9-6058,1.558,7.956E-13,2.7768345E-11,2.4397864,6.40627,640.4377,19.5,bzr
4FGL J0310.9+3815,1.36,2.606E-12,5.582223E-12,2.3956718,2.2029943,12.873715,20.7,bzr
4FGL J0315.9-1033,1.738,3.029E-13,8.331095E-12,2.4489496,1.95229,109.465034,19.5,bzr
4FGL J0316.2-2608,2.777,4.96E-12,5.395814E-12,1.8265747,3.5939014,9.729288,18.5,bzr
4FGL J0319.8+1845,2.153,1.283E-11,6.514402E-12,1.6678053,1.158402,32.3293,19.12,bzr
4FGL J0322.0+2335,2.459,5.017E-12,1.4789774E-11,2.0172665,1.2604536,6.3122654,17.8,bzr
4FGL J0323.7-0111,3.083,3.049E-13,8.69269E-12,1.8812225,2.8272228,11.070201,17.96,bzr
4FGL J0325.5-5635,2.408,4.379E-12,5.0751066E-12,1.9450887,0.43472403,24.902431,16.89,bzr
4FGL J0325.7+2225,1.097,2.864E-12,2.0599458E-11,2.6648338,4.8395576,199.81392,19.9,bzr
4FGL J0325.6-1646,2.889,1.502E-12,1.2856884E-11,1.8375782,2.5814798,28.36633,17.7,bzr
4FGL J0326.2+0225,2.406,1.936E-12,8.369541E-12,1.915807,1.0664235,16.574123,17.55,bzr
4FGL J0334.2-3725,2.239,5.086E-12,2.6087936E-11,2.03401,3.7661238,95.49938,17.56,bzr
4FGL J0334.2-4008,1.816,8.092E-12,3.4929046E-11,2.1803901,5.5592947,293.52582,18.87,bzr
4FGL J0336.4+3224,1.451,1.602E-11,1.2927837E-11,2.8364217,6.02001,21.003176,18.5,bzr
4FGL J0338.5+1302,2.221,2.839E-12,1.4677181E-11,1.8068731,4.959789,41.902657,19.782,bzr
4FGL J0339.2-1736,2.483,2.198E-12,6.979281E-12,1.9635807,1.1232982,14.503867,16.73,bzr
4FGL J0339.5-0146,1.576,2.287E-12,5.8375006E-11,2.3426852,6.007936,1188.2185,19.41,bzr
4FGL J0348.5-2749,1.803,2.745E-12,8.718255E-12,2.4443772,1.6059589,105.44493,19.63,bzr
4FGL J0348.6-1609,1.474,1.737E-12,7.9443145E-12,2.3940518,1.0082825,29.23014,18.586,bzr
4FGL J0349.4-1159,1.995,3.778E-11,3.8754017E-12,1.7618284,0.65393096,10.002603,19.2,bzr
