Source_Name,XRT oldname,XRT updated name,UV name,Xray_Index,FX,FG,PL,SC,VI,V,FILTER,AB_MAG,AB_MAG_real,GLON,GLAT
4FGL J0004.4-4001,SwFS1 J000434.1-400036,SwXF4 J000434.1-400036,SwUVF4 J000434.2-400035,2.49677,3.8618908944898997E-13,2.1773763E-12,2.4249508,0.3422165,18.51724,17.932,uu,18.35,18.350000381469727,336.9915,-73.84534
4FGL J0017.1-4605,SwFS1 J001708.5-460611,SwXF4 J001708.5-460612,SwUVF4 J001708.5-460612,1.71547,3.428467208333132E-13,2.4241457E-12,2.8010092,0.7361713,4.1221323,18.922,uu,19.34,19.34,320.38864,-69.86521
4FGL J0025.4-4838,SwFS1 J002536.8-483808,SwXF4 J002536.8-483808,SwUVF4 J002536.9-483810,2.33027,4.961351535855702E-13,2.0461885E-12,2.120224,1.3044256,10.134406,19.372,uu,19.79,19.790000915527344,314.39056,-67.90782
4FGL J0026.1-0732,SwFS1 J002611.9-073115,SwXF4 J002611.9-073115,SwUVF4 J002611.6-073115,2.13363,4.47095192463043E-12,1.7000845E-12,2.0678716,0.0763394,1.2542979,19.422,uu,19.84,19.84000015258789,104.761604,-69.51759
4FGL J0031.0-2327,SwFS1 J003040.1-232820,SwXF4 J003040.1-232821,SwUVF4 J003039.8-232822,0.396657,3.574374062644811E-13,1.9005806E-12,2.1938756,2.8907936,5.5634604,20.325,m2,21.16,21.15999984741211,70.318275,-84.105675
4FGL J0031.0-2327,SwFS1 J003040.1-232820,SwXF4 J003040.1-232821,SwUVF4 J003040.1-232821,0.396657,3.574374062644811E-13,1.9005806E-12,2.1938756,2.8907936,5.5634604,21.392,uu,21.81,>21.81,70.318275,-84.105675
4FGL J0031.5-5648,SwFS1 J003135.1-564640,SwXF4 J003135.1-564640,SwUVF4 J003135.1-564640,2.42669,4.0355246088074724E-13,1.5435117E-12,1.9233072,1.1865219,11.675076,20.124,w1,20.82,20.82,308.3834,-60.11082
4FGL J0031.5-5648,SwFS1 J003135.1-564640,SwXF4 J003135.1-564640,SwUVF4 J003135.4-564642,2.42669,4.0355246088074724E-13,1.5435117E-12,1.9233072,1.1865219,11.675076,19.835,m2,20.67,20.670000076293945,308.3834,-60.11082
4FGL J0037.2-2653,SwFS1 J003729.6-265043,SwXF4 J003729.6-265043,SwUVF4 J003729.5-265045,1.63175,4.687054463018025E-13,1.3753644E-12,2.4598632,0.44429338,3.6452038,20.002,uu,20.42,20.420000076293945,36.389965,-86.83259
4FGL J0057.9+6326,SwFS1 J005758.1+632642,SwXF4 J005758.1+632642,SwUVF4 J005758.1+632642,2.04117,2.7854797143757417E-12,2.7091695E-12,1.6726426,2.0507538,11.416983,19.112,vv,19.13,19.13,123.66344,0.57604647
4FGL J0058.3-4603,SwFS1 J005806.4-460417,SwXF4 J005806.4-460417,SwUVF4 J005806.3-460419,1.62301,2.9977816715823877E-12,1.1373552E-12,2.098462,0.6387118,12.6100855,20.795,m2,21.63,21.6299991607666,299.2362,-71.02254
4FGL J0058.3-4603,SwFS1 J005806.4-460417,SwXF4 J005806.4-460417,SwUVF4 J005806.4-460418,1.62301,2.9977816715823877E-12,1.1373552E-12,2.098462,0.6387118,12.6100855,21.192,uu,21.61,21.61,299.2362,-71.02254
4FGL J0118.3-6008,SwFS1 J011823.10-600753,SwXF4 J011824.0-600753,SwUVF4 J011824.0-600753,2.48753,1.8063420831699772E-13,1.0995729E-12,2.1720219,2.329121,10.532985,19.342,uu,19.76,19.76,296.8381,-56.66605
